order_id,order_date,customer_id,customer_name,product_id,category,product_name,sales,quantity,discount,profit
ORD-100000,2020-01-01,CUST-8270,Customer_365,PROD-264,Furniture,Table,148.06,4,0.11,11.51
ORD-100001,2020-01-01,CUST-1860,Customer_65,PROD-281,Technology,Monitor,177.09,3,0.15,163.33
ORD-100002,2020-01-01,CUST-6390,Customer_326,PROD-338,Office Supplies,Chair,346.18,9,0.07,136.74
ORD-100003,2020-01-01,CUST-6191,Customer_69,PROD-748,Technology,Table,244.13,4,0.08,195
ORD-100004,2020-01-01,CUST-6734,Customer_121,PROD-438,Office Supplies,Chair,49.93,7,0.11,53.81
ORD-100005,2020-01-01,CUST-7265,Customer_109,PROD-611,Office Supplies,Chair,79.31,5,0.28,167.69
ORD-100006,2020-01-01,CUST-1466,Customer_316,PROD-365,Office Supplies,Printer,375.37,7,0.12,144.78
ORD-100007,2020-01-01,CUST-5426,Customer_247,PROD-286,Furniture,Monitor,171,8,0.17,157.98
ORD-100008,2020-01-01,CUST-6578,Customer_434,PROD-139,Office Supplies,Table,258.75,8,0.16,122.04
ORD-100009,2020-01-01,CUST-9322,Customer_93,PROD-921,Furniture,Phone,385.64,6,0.17,37.26
ORD-100010,2020-01-01,CUST-2685,Customer_268,PROD-592,Office Supplies,Chair,378.08,5,0.25,10.98
ORD-100011,2020-01-01,CUST-1769,Customer_103,PROD-778,Technology,Phone,91.84,2,0.27,18.08
ORD-100012,2020-01-01,CUST-7949,Customer_431,PROD-490,Furniture,Laptop,58.21,8,0.06,91.75
ORD-100013,2020-01-01,CUST-3433,Customer_451,PROD-359,Furniture,Laptop,299.66,5,0.26,169.91
ORD-100014,2020-01-01,CUST-6311,Customer_112,PROD-754,Furniture,Printer,373.4,8,0.16,62.27
ORD-100015,2020-01-01,CUST-6051,Customer_321,PROD-815,Technology,Phone,83.03,6,0.28,99.71
ORD-100016,2020-01-01,CUST-7420,Customer_411,PROD-275,Furniture,Desk,192.26,8,0.27,133.45
ORD-100017,2020-01-01,CUST-2184,Customer_304,PROD-873,Technology,Printer,436.44,1,0.12,163.82
ORD-100018,2020-01-01,CUST-5555,Customer_344,PROD-863,Office Supplies,Chair,472.67,9,0.2,112.12
ORD-100019,2020-01-01,CUST-4385,Customer_62,PROD-428,Office Supplies,Laptop,232.49,9,0.26,107.33
ORD-100020,2020-01-01,CUST-7396,Customer_300,PROD-299,Technology,Monitor,48.96,3,0.12,196.9
ORD-100021,2020-01-01,CUST-9666,Customer_403,PROD-810,Furniture,Laptop,136.27,5,0.01,165.6
ORD-100022,2020-01-01,CUST-3558,Customer_443,PROD-295,Furniture,Desk,124.16,7,0.11,133.35
ORD-100023,2020-01-01,CUST-8849,Customer_136,PROD-925,Technology,Printer,127.09,8,0.11,157.99
ORD-100024,2020-01-02,CUST-3047,Customer_55,PROD-688,Office Supplies,Phone,252,7,0.24,199.97
ORD-100025,2020-01-02,CUST-3747,Customer_108,PROD-630,Technology,Monitor,295.78,3,0.09,76.43
ORD-100026,2020-01-02,CUST-1189,Customer_303,PROD-161,Furniture,Laptop,70.03,7,0.27,126.38
ORD-100027,2020-01-02,CUST-3734,Customer_258,PROD-426,Furniture,Chair,445.78,1,0.16,153.35
ORD-100028,2020-01-02,CUST-4005,Customer_253,PROD-380,Furniture,Desk,313.79,5,0.18,61.05
ORD-100029,2020-01-02,CUST-5658,Customer_222,PROD-861,Furniture,Desk,302.65,9,0.24,188.73
ORD-100030,2020-01-02,CUST-2899,Customer_478,PROD-326,Office Supplies,Table,493.77,2,0.04,45.55
ORD-100031,2020-01-02,CUST-8734,Customer_369,PROD-738,Office Supplies,Desk,317.79,3,0.01,10.77
ORD-100032,2020-01-02,CUST-2267,Customer_167,PROD-157,Office Supplies,Chair,465.19,9,0.02,119.27
ORD-100033,2020-01-02,CUST-2528,Customer_429,PROD-576,Furniture,Desk,150.27,3,0.01,-29.81
ORD-100034,2020-01-02,CUST-4556,Customer_160,PROD-475,Furniture,Phone,127.66,8,0.21,-18.34
ORD-100035,2020-01-02,CUST-4890,Customer_449,PROD-815,Furniture,Table,263.09,6,0.07,192.62
ORD-100036,2020-01-02,CUST-9838,Customer_166,PROD-342,Technology,Phone,259.22,7,0.26,20.41
ORD-100037,2020-01-02,CUST-6393,Customer_205,PROD-466,Furniture,Monitor,120.98,5,0.26,-41.71
ORD-100038,2020-01-02,CUST-9792,Customer_267,PROD-943,Office Supplies,Printer,352.83,7,0.11,68.66
ORD-100039,2020-01-02,CUST-9433,Customer_138,PROD-599,Office Supplies,Printer,24.52,3,0.06,166.84
ORD-100040,2020-01-02,CUST-8513,Customer_368,PROD-937,Office Supplies,Monitor,348.41,5,0.15,33.33
ORD-100041,2020-01-02,CUST-3612,Customer_443,PROD-351,Technology,Monitor,234.02,6,0.24,54.83
ORD-100042,2020-01-02,CUST-8041,Customer_346,PROD-421,Office Supplies,Phone,347.61,9,0.21,-10.79
ORD-100043,2020-01-02,CUST-7235,Customer_248,PROD-475,Technology,Chair,243.77,4,0.01,36.52
ORD-100044,2020-01-02,CUST-6486,Customer_55,PROD-508,Technology,Table,488.89,8,0,191.35
ORD-100045,2020-01-02,CUST-8099,Customer_404,PROD-810,Technology,Printer,174,8,0.03,169.3
ORD-100046,2020-01-02,CUST-1775,Customer_209,PROD-587,Furniture,Desk,491.46,6,0.1,134.96
ORD-100047,2020-01-02,CUST-9226,Customer_17,PROD-442,Furniture,Monitor,41.84,8,0.16,146.55
ORD-100048,2020-01-03,CUST-4152,Customer_68,PROD-339,Office Supplies,Phone,345.04,5,0.25,117.34
ORD-100049,2020-01-03,CUST-2585,Customer_133,PROD-238,Office Supplies,Laptop,232.57,1,0.04,-20.51
ORD-100050,2020-01-03,CUST-4943,Customer_188,PROD-221,Technology,Chair,412.85,4,0.05,-20.64
ORD-100051,2020-01-03,CUST-8555,Customer_407,PROD-519,Furniture,Chair,396.91,6,0.26,84.3
ORD-100052,2020-01-03,CUST-4073,Customer_430,PROD-660,Office Supplies,Phone,402.1,9,0.28,98.86
ORD-100053,2020-01-03,CUST-2021,Customer_308,PROD-403,Office Supplies,Laptop,56.42,4,0.17,192.96
ORD-100054,2020-01-03,CUST-4843,Customer_138,PROD-214,Furniture,Chair,412.96,6,0.24,62.79
ORD-100055,2020-01-03,CUST-8989,Customer_174,PROD-442,Technology,Table,114.88,5,0.1,179.37
ORD-100056,2020-01-03,CUST-7873,Customer_412,PROD-350,Office Supplies,Printer,22.58,9,0.28,197.58
ORD-100057,2020-01-03,CUST-6675,Customer_97,PROD-106,Office Supplies,Table,116.69,6,0.27,161.13
ORD-100058,2020-01-03,CUST-1161,Customer_171,PROD-830,Furniture,Laptop,244.85,3,0.25,49.75
ORD-100059,2020-01-03,CUST-5297,Customer_154,PROD-688,Furniture,Table,373.63,2,0,138.36
ORD-100060,2020-01-03,CUST-1995,Customer_183,PROD-278,Technology,Desk,117.13,3,0.16,86.37
ORD-100061,2020-01-03,CUST-8629,Customer_242,PROD-244,Technology,Monitor,65.37,6,0.01,-0.3
ORD-100062,2020-01-03,CUST-2016,Customer_304,PROD-515,Office Supplies,Monitor,326.52,8,0.2,-17.57
ORD-100063,2020-01-03,CUST-8869,Customer_285,PROD-765,Technology,Printer,492.11,8,0.06,-32.48
ORD-100064,2020-01-03,CUST-7439,Customer_27,PROD-220,Office Supplies,Laptop,304.43,5,0.19,31.61
ORD-100065,2020-01-03,CUST-8892,Customer_402,PROD-223,Office Supplies,Phone,348.62,1,0.03,122.19
ORD-100066,2020-01-03,CUST-7863,Customer_360,PROD-249,Furniture,Chair,284.97,1,0.23,178.46
ORD-100067,2020-01-03,CUST-8916,Customer_60,PROD-496,Office Supplies,Printer,393.35,7,0.22,30.11
ORD-100068,2020-01-03,CUST-9529,Customer_202,PROD-480,Furniture,Phone,488.14,2,0,82.76
ORD-100069,2020-01-03,CUST-1878,Customer_250,PROD-879,Office Supplies,Laptop,276.62,4,0.24,67.2
ORD-100070,2020-01-03,CUST-5887,Customer_362,PROD-938,Office Supplies,Desk,214.23,5,0.05,-22.81
ORD-100071,2020-01-03,CUST-5859,Customer_69,PROD-100,Office Supplies,Chair,431.57,8,0.03,140.07
ORD-100072,2020-01-04,CUST-7331,Customer_458,PROD-772,Technology,Chair,485.17,9,0.15,79.84
ORD-100073,2020-01-04,CUST-9571,Customer_370,PROD-343,Technology,Printer,73.3,1,0.18,179.33
ORD-100074,2020-01-04,CUST-9684,Customer_21,PROD-986,Furniture,Phone,293.3,9,0.03,158.86
ORD-100075,2020-01-04,CUST-8208,Customer_152,PROD-497,Office Supplies,Monitor,398.31,5,0.09,19.57
ORD-100076,2020-01-04,CUST-6276,Customer_102,PROD-350,Furniture,Laptop,271.34,4,0.12,28.15
ORD-100077,2020-01-04,CUST-3062,Customer_387,PROD-978,Furniture,Laptop,210.51,5,0.28,84.25
ORD-100078,2020-01-04,CUST-1064,Customer_488,PROD-675,Office Supplies,Phone,331.06,9,0.08,-18.71
ORD-100079,2020-01-04,CUST-9006,Customer_95,PROD-398,Technology,Chair,142.36,8,0.08,12.78
ORD-100080,2020-01-04,CUST-3568,Customer_446,PROD-859,Technology,Phone,181.08,5,0.2,155.27
ORD-100081,2020-01-04,CUST-6463,Customer_361,PROD-396,Furniture,Table,496.22,5,0.22,-11.75
ORD-100082,2020-01-04,CUST-3027,Customer_229,PROD-599,Technology,Monitor,321.87,1,0,86.56
ORD-100083,2020-01-04,CUST-3695,Customer_125,PROD-214,Office Supplies,Laptop,437.73,9,0.04,48.49
ORD-100084,2020-01-04,CUST-6258,Customer_258,PROD-906,Office Supplies,Phone,405.81,3,0.11,0.23
ORD-100085,2020-01-04,CUST-6618,Customer_322,PROD-100,Technology,Chair,329.61,1,0.19,192.44
ORD-100086,2020-01-04,CUST-7736,Customer_487,PROD-652,Technology,Printer,421.96,5,0.04,156.28
ORD-100087,2020-01-04,CUST-1391,Customer_369,PROD-784,Furniture,Table,150.71,3,0.11,16.67
ORD-100088,2020-01-04,CUST-6892,Customer_426,PROD-699,Technology,Chair,322.19,6,0.02,146.32
ORD-100089,2020-01-04,CUST-4561,Customer_236,PROD-581,Furniture,Desk,299.4,7,0.17,-48.4
ORD-100090,2020-01-04,CUST-7184,Customer_162,PROD-709,Office Supplies,Desk,314.99,4,0.13,19.39
ORD-100091,2020-01-04,CUST-4099,Customer_42,PROD-699,Office Supplies,Phone,92.63,4,0.24,-23
ORD-100092,2020-01-04,CUST-7278,Customer_276,PROD-862,Office Supplies,Monitor,145.85,2,0.17,56.02
